name,price
Ноутбук Apple MacBook Pro 14″ M1 Pro/16GB/1TB SSD Space Grey (MKGQ3RU/A),1 572 990 ₸
Ноутбук Apple MacBook Pro 14″ M1 Pro/16GB/1TB SSD Silver (MKGT3RU/A),1 572 990 ₸
Ноутбук Apple MacBook Pro 14″ M1 Pro/16GB/512GB SSD Space Grey (MKGP3RU/A),1 257 990 ₸
Ноутбук Apple MacBook Pro 16″ M1 Pro/16GB/512GB SSD Silver (MK1E3),1 572 990 ₸
Ноутбук Apple MacBook Pro 16 M1 Pro/16GB/2TB SSD Space Grey (MK1A3),2 201 990 ₸
Ноутбук Apple MacBook Pro 16″ M1 Pro/16GB/512GB SSD Space Grey (MK183),1 572 990 ₸
Ноутбук Asus VivoBook 15 X513EA (90NB0SG4-M00BR0),359 990 ₸
Ноутбук Apple MacBook Air 13″ M1 3.2/8Gb/256GB SSD Space Gray (MGN63),629 990 ₸
Ноутбук Asus ROG Strix G513 (90NR0502-M00050),629 990 ₸
Ноутбук Apple MacBook Air 13″ M1 3.2/8Gb/256GB SSD Silver (MGN93),629 990 ₸
Ноутбук Apple MacBook Air 13″ M1 3.2/8Gb/256GB SSD Gold (MGND3),189 990 ₸
Ноутбук Lenovo IdeaPad 3 15IIL05 (81WE018LRK),419 990 ₸
Ноутбук Lenovo IdeaPad L3 I341TUW (82HL005WRK),229 990 ₸
Ноутбук Asus X515JF (90NB0SW1-M000H0),229 990 ₸
Ноутбук Acer Extensa 15 EX215-31-P802 (NX.EFTER.00L),169 990 ₸
Ноутбук HUAWEI MateBook D16 I5165SUW1 (RolleF-W5651),539 990 ₸
Ноутбук Lenovo IdeaPad 3 15IML05 (81WB00T7RK),299 990 ₸
Ноутбук Lenovo IdeaPad 3 15ADA05 (81W1016LRK),569 990 ₸
Ноутбук Acer Extensa 15 EX215-52 (NX.EG8ER.00Y),339 990 ₸
"Ноутбук Apple MacBook Air 13"" Space Gray M1 M185SUX (Z1240004J)",256 990 ₸
Ноутбук HUAWEI MateBook D15 BohrD-WDI9A,379 990 ₸
Ноутбук HUAWEI MateBook D15 BohrD-WFE9A,754 990 ₸
Ноутбук Acer Aspire 3 A315-58G (NX.ADUER.00X),816 990 ₸
Ноутбук HUAWEI MateBook D15 BohrD-WDH9C,299 990 ₸
Ноутбук Acer Extensa 15 EX215-52 I585SUN (NX.EG8ER.00B),425 190 ₸
Ультрабук HUAWEI MateBook D14 NobelD-WDH9D,499 990 ₸
Ноутбук Lenovo IdeaPad 3 15ADA05 (81W1016NRK),379 990 ₸
Ноутбук Apple MacBook Air 13 M282SUX (MLXW3RU/A) Space Grey,219 990 ₸
"Ноутбук Apple MacBook Pro 13,3″ M2 8/256GB (MNEP3RU/A) Silver ",816 990 ₸
Ноутбук Apple MacBook Air 13 M1162SUX (Z12700034) Silver,827 990 ₸
Ноутбук Asus VivoBook 15 K513EA-L12013W (90NB0SG2-M38550),942 990 ₸
"Ноутбук Apple MacBook Pro 13,3″ M2 8/512GB (MNEJ3RU/A) Space Gray ",754 990 ₸
Ноутбук Apple MacBook Air 13 M282SUX (MLY13RU/A) Starlight,369 990 ₸
Ноутбук Acer Extensa 15 EX215-52 (NX.EG8ER.020),369 990 ₸
Ноутбук HUAWEI MateBook D15 BohrM-WDQ9B,754 990 ₸
Ноутбук Acer Swift 3 SF314-43-R585SUW1 Silver (NX.AB1ER.00D),942 990 ₸
Ноутбук Apple MacBook Air 13 Midnight M282SUX MLY33RU/A,942 990 ₸
Ноутбук Acer Swift 1 SF114-34 (NX.A75ER.002) Gold,754 990 ₸
"Ноутбук Apple MacBook Pro 13,3″ M2 8/512GB (MNEQ3RU/A) Silver ",942 990 ₸
Ноутбук Apple MacBook Air 13 Space Grey M285SUX MLXX3RU/A,942 990 ₸
Ноутбук Acer Swift 1 SF114-33-C82SUN Silver (NX.HYUER.002),154 990 ₸
Ноутбук Apple MacBook Air 13 M282SUX MLXY3RU/A Silver,942 990 ₸
Ноутбук Realme Book,529 990 ₸
Ноутбук Apple Custom MacBook Pro 16″ M1 Max 32GB/512GB M1325SUX Z14V0008E,1 899 990 ₸
Ноутбук Apple MacBook Air 13 M185SUX (Z12A0008K) Gold,159 990 ₸
Смартбук Prestigio 141 C6 (PSB141C06CHP_DG_CIS),159 990 ₸
Смартбук Prestigio 141 C6 (PSB141C06CHP_MG_CIS),719 990 ₸
Ноутбук Lenovo Legion 5 15ACH6A (82NW0068RK),629 990 ₸
Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K201QQRK),639 990 ₸
Ноутбук Lenovo IdeaPad Gaming 3 15IHU6 (82K100KFRK),399 990 ₸
Ноутбук Lenovo Yoga Slim 7 Pro 14ACH5 D (82NJ004URK),329 990 ₸
Ноутбук HUAWEI MateBook D15 BohrM-WFQ9A,369 990 ₸
Ноутбук HUAWEI MateBook D15 BohrM-WDQ9A,629 990 ₸
Ноутбук Asus VivoBook 15 M513UA-L1179W (90NB0TP1-M06500),539 990 ₸
Ноутбук Acer Nitro 5 AN515-46 (NH.QGZER.002),899 990 ₸
Ноутбук Acer Nitro 5 AN515-58 (NH.QFJER.002),499 990 ₸
Ноутбук Acer Nitro 5 AN515-58 (NH.QFLER.00B),339 990 ₸
Ноутбук Acer Nitro 5 AN515-57 (NH.QEWER.004),729 990 ₸
"Ноутбук Acer Swift 3 (SF314-43, R5165SUW1, NX.ACPER.00F)",429 990 ₸
"Ноутбук Acer Swift 3 SF314-512 (I5165SUW1, NX.K7MER.006)",499 990 ₸
"Ноутбук Acer Swift 3 SF314-511 (I585SUW1, NX.ACWER.00A)",409 990 ₸
Ноутбук Apple MacBook Air 13 M282SUX Z15W000LE Silver,729 990 ₸
"Ноутбук Acer Swift 3 SF314-512 (I585SUW1, NX.K7MER.002)",459 990 ₸
Ноутбук HP 15s-fq5031ci I5165SUN 6J5Y1EA,329 990 ₸
"Ноутбук HP 15s-eq2039ur, R585SUN, 4A724EA",289 990 ₸
Ноутбук HP 15s-eq3064ci 79B18EA (R585SUW1),324 990 ₸
Ноутбук HP Victus 15-fa0034ci (6X7N1EA),549 990 ₸
