name,price
"Планшет Samsung Galaxy Tab A7 Lite 8.7"" 3/32GB Wi-Fi Gray (SM-T220)",79 890 ₸
Планшет Apple iPad 10.2″ (2021) 3/64GB Wi-Fi Space Grey (MK2K3RK/A),189 990 ₸
Планшет Apple iPad 10.2″ (2021) 3/256GB Wi-Fi Silver (MK2P3RK/A),311 990 ₸
Планшет BQ 7036L,32 990 ₸
"Планшет Samsung Galaxy Tab A7 Lite 8.7"" 3/32GB LTE Gray (SM-T225)",99 890 ₸
Планшет Apple iPad Air 10.9″ (2020) 3/64GB Wi-Fi Green (MYFR2),406 990 ₸
Планшет Xiaomi Pad 5 6/128Gb White,199 990 ₸
Планшет Xiaomi Pad 5 6/128Gb Cosmic Gray,199 990 ₸
Планшет Apple iPad 10.2″ (2021) 3/64GB Wi-Fi Silver (MK2L3RK/A),189 990 ₸
"Планшет HUAWEI MatePad 11"" 6/128GB",249 990 ₸
Планшет Lenovo Tab 2/32GB 4G Grey (TB-8505X),79 990 ₸
Планшет Apple iPad Air 10.9″ (2020) 3/64GB Wi-Fi Sky Blue (MYFQ2),393 890 ₸
Планшет Lenovo TAB4 TB-8504X LTE(Black),77 990 ₸
Планшет Samsung Galaxy Tab A8 10.5″ 4/64GB LTE Gray (SM-X205NZAESKZ),119 890 ₸
"Планшет Samsung Galaxy Tab A7 Lite 8.7"" 3/32GB LTE Silver (SM-T225)",99 890 ₸
Планшет Apple iPad mini 6 (2021) 3/64GB Wi-Fi Space Grey (MK7M3RK/A),324 990 ₸
Планшет Apple iPad mini 6 (2021) 3/64GB Wi-Fi Purple (MK7R3RK/A),324 990 ₸
Планшет Samsung Galaxy Tab A8 10.5″ 4/128GB LTE Gray (SM-X205NZAFSKZ),139 890 ₸
"Планшет Samsung Galaxy Tab A7 Lite 8.7"" 3/32GB Wi-Fi Silver (SM-T220)",79 890 ₸
"Планшет Samsung Galaxy Tab S8 Ultra 14.6"" 12/256GB LTE Dark Gray (SM-X906)",579 890 ₸
Планшет Lenovo Tab P11 4/128GB Grey (TB-J606L),144 390 ₸
Планшет HUAWEI MatePad T 10s 10.1″ 4/64GB,124 990 ₸
Планшет Apple iPad Pro M1 12.9″ (2021) 8/128GB Wi‑Fi Space Grey,715 990 ₸
Планшет Lenovo Tab M10 4/64 GB Grey (TB-X306F),106 990 ₸
Планшет Samsung Galaxy Tab A8 10.5″ 4/64GB LTE Silver (SM-X205NZSESKZ),119 890 ₸
Планшет Apple iPad Air 10.9″ (2020) 3/256GB Wi-Fi Silver (MYFW2),507 990 ₸
"Планшет HUAWEI MatePad 11"" 6/64GB",209 990 ₸
Планшет Apple iPad 10.2″ (2021) 3/64GB Wi-Fi + Cellular Space Grey (MK473RK/A),295 990 ₸
Планшет Samsung Galaxy Tab A8 10.5″ 4/128GB LTE Silver (SM-X205NZSFSKZ),139 890 ₸
Планшет Lenovo Tab P11 Pro 6/128GB Grey (TB-J706L),289 990 ₸
Планшет Apple iPad mini 6 (2021) 3/64GB Wi-Fi Starlight (MK7P3RK/A),324 990 ₸
"Планшет Samsung Galaxy Tab S8 11"" 8/128GB LTE Dark Gray (SM-X706)",399 890 ₸
Планшет BQ 1024L Black,59 990 ₸
"Планшет Samsung Galaxy Tab S8 11"" 8/128GB LTE Silver (SM-X706)",399 890 ₸
Планшет Apple iPad Pro M1 12.9″ (2021) 8/256GB Wi‑Fi Space Gray (MHNH3RK/A),780 990 ₸
"Планшет Apple iPad Air 10.9"" (2022) 8/64GB Wi-Fi Space Grey (MM9C3RK/A)",389 990 ₸
Планшет Prestigio Smartkids PMT3997 Pink,43 990 ₸
"Планшет Samsung Galaxy Tab S8 11"" 8/128GB LTE Pink Gold (SM-X706)",399 890 ₸
"Планшет Apple iPad Air 10.9"" (2022) 8/64GB Wi-Fi Blue (MM9E3RK/A)",389 990 ₸
Планшет Apple iPad Air 10.9″ (2020) 64GB Wi-Fi + Cellular (MYGY2) Rose Gold,494 990 ₸
Планшет HUAWEI MatePad T10s 4/128GB (Ags3K-L09E),134 990 ₸
"Планшет Samsung Galaxy Tab S8+ 12.4"" 8/128GB LTE Dark Gray (SM-X806)",449 890 ₸
"Планшет Apple iPad Air 10.9"" (2022) 8/64GB Wi-Fi Purple (MME23RK/A)",389 990 ₸
Планшет Apple iPad Air 10.9″ (2020) 3/64GB Wi-Fi + Cellular Space Grey (MYGW2),494 990 ₸
"Планшет Samsung Galaxy Tab S8+ 12.4"" 12/256GB Wi-Fi Dark Gray (SM-X806)",479 890 ₸
Планшет HUAWEI MatePad T10 4/64GB (AgrK-L09D),119 990 ₸
"Планшет Apple iPad Air 10.9"" (2022) 8/64GB Wi-Fi Starlight (MM9F3RK/A)",389 990 ₸
Планшет Apple iPad Pro 11″ M1 512GB M1 Wi‑Fi + Cellular 2021 Space Gray (MHW93RK/A),813 990 ₸
"Планшет Samsung Galaxy Tab S8+ 12.4"" 12/256GB LTE Silver (SM-X806)",479 890 ₸
Планшет Prestigio Seed A7 PMT4337 3G Black,46 990 ₸
Планшет Lenovo Tab P11 Plus TB-J616X 4/128GB Platinum Grey,149 990 ₸
Планшет Lenovo Tab M10 HD 4/64GB (TB328FU) Silver,89 990 ₸
"Планшет Samsung Galaxy Tab S8+ 12.4"" 8/128GB LTE Silver (SM-X806)",449 890 ₸
"Планшет Samsung Galaxy Tab S8+ 12.4"" 8/128GB LTE Pink Gold (SM-X806)",449 890 ₸
Планшет Lenovo Tab P11 (TB-J606F) 4/64GB Grey,139 990 ₸
Планшет Lenovo Tab M8 3/32GB (TB-8506F) Dark Grey,79 990 ₸
"Планшет Samsung Galaxy Tab S8+ 12.4"" 256GB (SM-X806) Pink Gold",479 890 ₸
Планшет Lenovo Tab M8 3/32GB (TB-8506X) Grey,89 990 ₸
Планшет Realme Pad 10.4' 6+128 Gb WiFi Grey RMNP2103,169 990 ₸
Планшет Lenovo Tab M10 Plus 4/128GB (TB128XU),144 990 ₸
Планшет Lenovo Tab M10 HD 4/64GB (TB328XU) Grey,109 990 ₸
Планшет Lenovo Tab M10 Plus 4/128GB (TB128XU) Grey,159 990 ₸
Планшет Lenovo Tab M10 Plus 4/64GB (TB128XU) Grey,139 990 ₸
Планшет Lenovo Tab M10 Plus 4/64 GB (TB128XU) Grey,164 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Yellow (MPQ23RK/A),289 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/256GB Wi-Fi Space Grey (MNXR3RK/A),781 990 ₸
Планшет Apple iPad Pro 11″ (2022) 8/128GB Wi-Fi+Cellular Space Grey (MNYC3RK/A),618 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/128GB Wi-Fi+Cellular Silver (MP1Y3RK/A),813 990 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Pink (MPQ33RK/A),289 990 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/128GB Wi-Fi Silver (MNXQ3RK/A),715 990 ₸
Планшеты Lenovo Tab P11 Plus TB-J616X 6/128GB (SG-RU),187 290 ₸
Планшет Apple iPad Prо 12.9″ (2022) 8/512GB Wi-Fi Space Grey (MNXU3RK/A),911 990 ₸
Планшеты Lenovo Tab P11 Plus 6/128GB TB-J616F,169 990 ₸
Планшеты Lenovo Tab P11 Plus TB-J616X 6/128GB (ZA9L0060RU),185 790 ₸
Планшет Apple iPad 10th gen 10.9″ (2022) 4/64GB Wi-Fi Silver (MPQ03RK/A),289 990 ₸
