name,price
Процессор Intel i3-10105 (OEM),62 190 ₸
Процессор Intel i5-9600KF (OEM),105 490 ₸
Процессор AMD Ryzen™ 3 3200G (OEM) YD3200C5M4MFH,71 890 ₸
Процессор AMD Ryzen 3 1200 OEM (YD1200BBM4KAF),48 090 ₸
Процессор Intel i5-8400 (OEM),89 290 ₸
Процессор Intel i7-12700 (OEM),180 190 ₸
Процессор Intel G6405 (OEM),32 090 ₸
Процессор Intel i3-12100 (OEM),69 490 ₸
Процессор Intel G6900 (OEM),31 190 ₸
Процессор Intel i7-9700 (OEM),169 790 ₸
Процессор Intel i5-12600KF (OEM),156 490 ₸
Процессор Intel i7-11700 (OEM),184 990 ₸
Процессор Intel I5-11400 (OEM),95 290 ₸
Процессор Intel i9-12900K (OEM),324 190 ₸
Процессор Intel i9-12900KF (OEM),311 590 ₸
Процессор Intel i7-12700K (OEM),235 290 ₸
Процессор Intel i5-12400F (OEM),235 290 ₸
Процессор Intel i7-10700K (OEM),181 890 ₸
Процессор Intel i5-10400 (OEM),90 890 ₸
Процессор Intel G5900 (OEM),25 190 ₸
Процессор AMD Athlon II X4 950 (OEM) AD950XAGM44AB,11 790 ₸
Процессор AMD Ryzen™ Threadripper 1920X (OEM) YD192XA8UC9AE,93 290 ₸
Процессор AMD Ryzen™ Threadripper 1900X (OEM) YD190XA8AEWOF,99 290 ₸
